country,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020
Jepang,10151.5,10510.9,8385,8741.9,7231.7,5887.9,5767.2,6445.8,5933.7,3189,4441.5,6307.9,6624,5436.6,4430.2,3654.8,2519.3,1582.2,1315.4,143.4,0
Korea Selatan,5065,6922.4,5912.2,5355.4,4690.6,5469.3,3107.7,2839.5,2495.4,2699.7,4321.1,3231.2,2500.9,1364.5,1105.9,1073.5,959.3,998.4,1001.7,332.1,93.8
Taiwan,0,0,950.1,860.9,1033.7,350.2,1006.6,469.1,359.5,371.1,556.2,317.1,44.4,490.1,819,711.6,962.8,1082,908,100,0
Tiongkok1),4483.1,2617.8,2909.9,3499.1,3352.3,3927.1,1847.9,2020.5,1688.1,2987.2,1208.4,730.4,209.8,290,315.4,1599.9,2654.1,1468,442.6,209.4,599.4
Thailand,0,0,1364.8,1336,1279.6,787.5,1184.5,673.4,496.7,1250.3,775.4,674.5,1421.4,1030.3,1045.2,2190.1,2415.2,2339.7,1819.9,1360.8,1596.9
Singapura,2090.4,2845.5,1934.2,1583.2,1197.3,999.8,732.1,1290.7,2833.9,1522.4,1171.7,2105.2,1677,1494.9,1699.6,1906.8,1713.7,1536,959.8,764.5,718.4
Malaysia,0,0,534.9,141.3,353.2,230.4,601,785.5,509.1,1164.6,731.2,295.1,250,438.8,426.2,581.1,1997.9,1553.8,1148.2,150,609.1
Australia,2691.3,4950.8,4486.5,3150.3,2540.5,2668.8,2432.9,2799,2727.2,3430.9,3209.2,3022.2,1839.1,1732.6,1695.8,1735.5,1785.8,1339.4,1099.4,345.1,242.1
Amerika Serikat,1927.1,2169.8,2181,1669.6,1699.5,843.4,1206.9,641.7,780.8,916.4,1519,986.8,272,691,812,1996.8,1374.7,1632.5,1443.4,0,0
Lainnya,2817.5,2839.8,395.6,179.8,89.4,323.6,241.1,210.1,410.6,435.5,198.7,149.1,134.5,48.1,50.7,104,572.7,38.7,76.1,171.4,535.9
