,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Singapura,1719,1047.8,2047,2312.9,3555.4,6533.9,6301.1,5931.5,10693.9,6313.8,10187.6,15416.3,15449.5,15422.6,15035.1,9047.2,6887.4,8603.8,11857.8,8120.4,4221.4
Malaysia,421,344.5,246.2,344,521,763.5,1588.6,4262,4991.1,2504.2,4126.9,4659.4,5922.4,7393.4,5076.9,3551.3,2469.4,3572.3,2435.9,1938.2,2110.6
Arab Saudi,1442,1102.9,966.4,1324.5,1762.6,2489.1,1334.2,3005.5,4229.5,2678.1,3624.6,4477.2,4154.2,5557.5,5546.6,2748.7,2019.5,2358.7,3651.3,2834.1,2097.3
Kuwait,727.3,656.9,631.3,633.3,990.8,1216.3,1453.4,1665,1787.2,1368.6,1177.1,1190.5,1885.1,1148.6,1182.6,504,182.6,259.2,214.1,,
Brunei Darussalam,15.5,35.9,33.1,113.3,291.6,1190.1,1602.8,1861.2,2410.8,636.7,659.1,1004.9,405.1,639,568.1,104.7,79.7,27.9,0,,
Nigeria,440.8,444.5,1130.7,860.3,1073.8,945.3,0,602.7,103.3,503.6,913.2,1606.1,2735,3092,3286.1,1284.5,1280.1,1253,2450.9,1852.1,780.6
Tiongkok2,276.8,315.8,328.8,620.1,743,1291.6,1134.9,600.6,299.3,510.8,736.2,755.8,423.8,279,162.8,186.1,111,255,286.7,329.7,281.4
Korea Selatan,,,,,,,,1202.2,2127.7,934.6,2110,5558.9,3668.9,2779.2,4091,2148.6,765.5,902.5,1373.2,1146.8,386.5
Azerbaijan,,,,,,,,98.5,100,756.3,894.7,1760.6,1233.5,1738.5,2421.3,1284.1,483,408.4,437,,
Uni Emirat Arab,,,,,,,,72.1,233.4,195,310.2,478.4,1286.2,1389.3,1330,1041.3,959.7,1577.7,1137.4,1341.1,1133.3
Turki,,,,,,,,607,891.6,344.4,0.1,207.6,0,1051.3,770.4,,,,,,
Thailand ,85.4,68.5,119.2,157.9,407.7,364.9,21.1,,,,,,,,,,,,,,
Vietnam,174.4,113.8,103.2,258.8,339.5,351.7,634.6,,,,,,,,,,,,,,
Aljazair,0,426.7,153.2,173.2,143.3,58.2,136.5,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,596,742.9,704.1,1288.3,818.9,572.4
Australia ,31.8,47.3,43,193.9,243.6,320.8,306,,,,,,,,,143.4,731.7,965,664.8,841.6,498.7
Amerika Serikat,,,,,,,,,,,,,,,,42.4,91.9,422.7,1068.2,1159.8,1091.3
Lainnya,685.5,867.3,723.6,618.7,1659.7,1932.3,4449.7,2024.5,2685.1,2234.6,2673,3585.8,5400.5,4776,3989,1930.9,1935.4,3006,3003.2,1502.6,1502.6
