Negara Asal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Singapura,7043.8,4877.2,9374.5,8848.7,9732.3,12828,10561.8,9291.3,12125.6,11099.5,13820.3,15445.1,14899.4,15759.8,15696.3,15896.9,15897.7,15840.8,17850.8,13741.8,10466.5
Malaysia,1809.5,1748.2,1213.7,1406.7,1593.8,1672.5,2750.3,6424.3,5482.8,4872.3,6561.7,5188.1,6235.5,7940.9,5586.7,7006.3,6489.9,7333.8,4091.3,3543.5,6311.5
Arab Saudi,6595.8,5479.8,4695.5,5642.1,5831.7,5828.7,5853.7,5086.3,5488.8,5470.7,6030.7,5363.8,4680.3,6243,6754.5,6313.2,6010.7,5487.1,6308.4,5810.5,6009.9
Kuwait,3084.2,3098.4,3097,2631.7,2786.7,2450,2503.3,2445,1914.7,2540.2,1779.3,1332,1992.2,1326.3,1371.5,1017,488.8,565.5,383.4,,
Brunei Darussalam,78,201.7,171.7,478.4,794.9,2599.1,2914.2,3025.5,3064.7,1410.3,1089.8,1207.9,477.9,767.7,695.7,243.9,238.8,81.9,0,,
Nigeria,1913.6,2271,5607,3589.6,3351.4,2113.1,0,977.7,123.5,1146.3,1484.4,1855.8,3136.8,3715.9,4033.4,3062.8,3933.9,3407.5,4646.1,3952.6,2313.1
Tiongkok2,1150.9,1469.3,1553.3,2342.7,2209.2,2717.7,2050.3,902.3,416.5,801.8,1079.6,747.2,444.1,265.3,199.4,362.4,213.5,526.8,436.2,578.9,631.4
Korea Selatan,,,,,,,,1815.7,2247.9,1743.8,3146.6,5936,3810.1,3065.5,4616.5,3832.9,1892.9,1653.1,2097.3,1932.1,853.3
Azerbaijan,,,,,,,,206.6,133,1570.4,1517.6,2053.6,1463.6,2152.9,3032.7,2789.1,1462.6,1060.9,884.2,,
Uni Emirat Arab,,,,,,,,103.9,301.5,357.5,419.9,527,1332.3,1469.2,1541.1,2131.4,2534.8,3283.7,2003.1,2678.2,2990.8
Turki,,,,,,,,973.3,1042.8,735.5,0.1,267.1,0,1276.4,927.2,,,,,,
Thailand ,363.2,336,606.3,666.8,1198.2,843.5,39.9,,,,,,,,,,,,,,
Vietnam,743.8,555.1,536.4,1045.4,1177.4,853.9,1217.8,,,,,,,,,,,,,,
Aljazair,0,1847,714.5,700,466.8,129.3,263.2,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,1165.4,1905.1,1412.9,2059.4,1600.9,1326.6
Australia ,78.3,237.9,161.3,744.8,696.2,726.1,530.6,,,,,,,,,346.4,1781.4,2216.3,1159.3,1684.9,1280.2
Amerika Serikat,,,,,,,,,,,,,,,,52.2,221.2,827.8,1875.7,2566.3,2817.3
Lainnya,2594.5,3834.4,3265,2378.2,5082,3975.5,4663.8,3487.4,3134.7,4258.2,3569.5,3804.2,5782.8,5070.8,4414.4,4089.2,5254.5,6672.1,5420.9,2836.7,2653.5
